epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4303.16,0.64154,0.63123,0.99699,0.79222,0.91341,0.91475,0.65165,0.73037,0.63149,0.902,0.000544776,0.000544776,0.000544776
70,4364.24,0.60829,0.55959,0.95381,0.84747,0.86962,0.92578,0.68844,0.71159,0.60993,0.89449,0.000528272,0.000528272,0.000528272
71,4424.89,0.68817,0.64166,1.00087,0.87741,0.82913,0.92707,0.68103,0.69664,0.63837,0.89214,0.000511769,0.000511769,0.000511769
72,4485.87,0.64638,0.57498,0.98638,0.86748,0.83518,0.92564,0.64315,0.74118,0.6384,0.91992,0.000495266,0.000495266,0.000495266
73,4546.67,0.64936,0.57747,0.98671,0.83951,0.88797,0.93102,0.66001,0.72991,0.64002,0.9072,0.000478762,0.000478762,0.000478762
74,4607.1,0.61193,0.55641,0.97646,0.84113,0.90765,0.93215,0.68423,0.70084,0.61813,0.88685,0.000462259,0.000462259,0.000462259
75,4668.18,0.62094,0.56023,0.96406,0.86656,0.87016,0.93701,0.68476,0.69323,0.57769,0.89129,0.000445756,0.000445756,0.000445756
76,4729.02,0.66064,0.57771,0.98552,0.93325,0.83617,0.94133,0.70284,0.66494,0.55759,0.88308,0.000429253,0.000429253,0.000429253
77,4790.81,0.6142,0.5835,0.97472,0.9449,0.83482,0.94431,0.70922,0.66691,0.54633,0.88797,0.000412749,0.000412749,0.000412749
78,4851.5,0.59249,0.56741,0.95775,0.87551,0.86306,0.93865,0.72345,0.65952,0.54965,0.88077,0.000396246,0.000396246,0.000396246
79,4912.52,0.64047,0.57153,0.97119,0.90992,0.8563,0.94547,0.71802,0.67147,0.54152,0.88318,0.000379743,0.000379743,0.000379743
80,4972.87,0.61744,0.56143,0.95704,0.91895,0.85484,0.94528,0.71299,0.70252,0.55409,0.88865,0.000363239,0.000363239,0.000363239
81,5035.3,0.60577,0.54987,0.96227,0.92598,0.86163,0.94443,0.72189,0.65987,0.53645,0.88441,0.000346736,0.000346736,0.000346736
82,5098.19,0.61474,0.56736,0.98292,0.88515,0.86547,0.93773,0.71607,0.66043,0.53556,0.88481,0.000330233,0.000330233,0.000330233
83,5159.17,0.64124,0.57479,0.97985,0.89792,0.85417,0.94231,0.70403,0.72147,0.54109,0.88989,0.000313729,0.000313729,0.000313729
84,5220.88,0.61524,0.54215,0.94742,0.88377,0.85807,0.94595,0.72347,0.6609,0.53224,0.88632,0.000297226,0.000297226,0.000297226
85,5282.43,0.60947,0.57412,0.95939,0.88004,0.86923,0.94569,0.72422,0.68273,0.54858,0.88893,0.000280723,0.000280723,0.000280723
86,5343.52,0.60562,0.5325,0.95747,0.87399,0.85951,0.94583,0.73723,0.63826,0.53053,0.87264,0.00026422,0.00026422,0.00026422
87,5405.48,0.60077,0.53897,0.93149,0.89449,0.8683,0.94989,0.73227,0.63636,0.52364,0.86613,0.000247716,0.000247716,0.000247716
88,5466.65,0.55976,0.49794,0.9345,0.86904,0.89201,0.94943,0.71263,0.68788,0.54025,0.87395,0.000231213,0.000231213,0.000231213
89,5529.11,0.57597,0.50981,0.95207,0.88152,0.88588,0.94977,0.72667,0.6397,0.52179,0.87201,0.00021471,0.00021471,0.00021471
90,5591.8,0.5754,0.54075,0.93819,0.88359,0.88774,0.95452,0.73645,0.64328,0.51312,0.8755,0.000198206,0.000198206,0.000198206
91,5653.66,0.64054,0.61178,0.9347,0.8681,0.91334,0.95492,0.73873,0.63673,0.53262,0.87127,0.000181703,0.000181703,0.000181703
92,5715.01,0.60605,0.55264,0.91668,0.89513,0.90188,0.95644,0.74016,0.64556,0.52284,0.86706,0.0001652,0.0001652,0.0001652
93,5775.45,0.62387,0.53083,0.90056,0.90922,0.90438,0.95612,0.74185,0.62248,0.51986,0.86092,0.000148696,0.000148696,0.000148696
94,5836.13,0.65778,0.54919,0.92684,0.90044,0.90428,0.95561,0.73307,0.62974,0.51568,0.85806,0.000132193,0.000132193,0.000132193
95,5896.69,0.61213,0.49527,0.90688,0.90729,0.89388,0.95714,0.73593,0.62105,0.51388,0.85707,0.00011569,0.00011569,0.00011569
96,5958.07,0.59621,0.50141,0.89417,0.89898,0.90716,0.95866,0.73859,0.6071,0.51105,0.85075,9.91865e-05,9.91865e-05,9.91865e-05
97,6020.86,0.56158,0.50462,0.88894,0.91154,0.87981,0.95824,0.74712,0.60014,0.50374,0.84648,8.26832e-05,8.26832e-05,8.26832e-05
98,6081.81,0.59296,0.50772,0.89929,0.88484,0.90854,0.95802,0.74902,0.59115,0.49406,0.84593,6.61799e-05,6.61799e-05,6.61799e-05
99,6144.09,0.5735,0.49883,0.91284,0.90219,0.9056,0.95651,0.75298,0.59024,0.49234,0.84653,4.96766e-05,4.96766e-05,4.96766e-05
100,6205.24,0.57652,0.48527,0.9044,0.91223,0.89908,0.95673,0.75258,0.58861,0.49239,0.84588,3.31733e-05,3.31733e-05,3.31733e-05
